ws_id,dem_min,dem_max,dem_mean,dem_std,dem_median,acc_min,acc_max,acc_mean,acc_std,acc_median
18,3692.0,6458.0,4967.086298407706,381.69032815624274,5016.0,1.0,29620.0,168.9757879562283,1661.189945439971,3.0
19,3682.0,6072.0,4962.2912203178,349.76609685100186,5002.0,1.0,73453.0,175.15309766113194,2011.8665946779538,3.0
20,2549.0,5341.0,4010.8997619677334,620.0115674944889,4043.0,1.0,138939.0,1173.7636207352552,11823.247559846179,4.0
21,2822.0,5728.0,4705.239357099594,554.1130615196226,4856.0,1.0,38954.0,183.11715843211906,2038.5415457952602,3.0
22,1592.0,6044.0,4278.641091219097,730.032646808222,4385.0,1.0,41189.0,235.77309278588052,2396.5224945720097,4.0
23,1557.0,5530.0,3485.0259335853,841.351188790527,3508.0,1.0,855780.0,3379.5070241745702,51314.717535885924,4.0
24,2598.0,5598.0,4378.8474899790035,581.8546855249566,4444.0,1.0,89965.0,159.57180123433224,2115.152223316172,4.0
25,1485.0,5487.0,4111.542213419163,752.6207799068513,4288.0,1.0,46587.0,226.09243212016176,2455.188190261137,3.0
26,3196.0,6009.0,5038.45686876439,475.3411550193962,5159.0,1.0,37550.0,224.9713225888974,2301.033306103079,3.0
27,3217.0,7065.0,4920.369770399625,543.562459646527,4995.0,1.0,80816.0,195.11517950777608,2088.17224697896,3.0
28,2055.0,5060.0,3568.6853795460092,709.8478674935695,3521.0,1.0,194534.0,1480.5766821251323,16262.90949588089,4.0
29,3126.0,5388.0,4401.454384522982,444.20471106904284,4481.0,1.0,88585.0,628.9072516912183,6951.838309128634,3.0
30,3114.0,5457.0,4509.571578899208,405.9580563977396,4538.0,1.0,109763.0,135.5188269204374,1592.874022391684,4.0
31,2001.0,5584.0,4226.783294828506,703.502131359268,4388.0,1.0,221892.0,196.2501510574018,3128.105738459063,4.0
32,2165.0,5576.0,3999.387523465704,626.347455325774,4098.0,1.0,32814.0,149.64,1597.8151873140876,4.0
33,2133.0,5249.0,4008.6352182830356,621.5492299979894,4090.0,1.0,56011.0,153.3500062785149,1471.8819106897954,4.0
34,2604.0,5689.0,4524.136760261285,550.2432790778781,4632.0,1.0,39506.0,210.3512235546456,2145.5274110512564,3.0
35,2548.0,5066.0,3850.0650693568728,525.3696993819631,3924.0,1.0,131898.0,1053.8158890290038,9514.104977570765,3.0
36,1435.0,5509.0,4146.139554677925,787.8863971225247,4376.0,1.0,284333.0,254.9971060874302,3540.4826244701726,3.0
37,1438.0,4840.0,3239.5965273856577,753.8196271233512,3369.5,1.0,284361.0,1150.4967532467533,16032.315176335062,3.0
38,1381.0,4763.0,2926.8856253383865,678.4202890316321,2896.0,1.0,14292.0,112.15274769897131,899.3578500898113,4.0
39,1365.0,5438.0,3179.0758399346973,851.959023850145,3161.0,1.0,275288.0,1308.3369942303768,17475.9289138016,4.0
40,1172.0,4900.0,2740.7638793200135,787.2045536768823,2691.0,1.0,1049253.0,4060.7366253825326,60689.68227179451,4.0
41,1173.0,6241.0,3761.523456683755,1012.6142101395607,3911.0,1.0,1049331.0,347.9943781501745,6323.9931096340215,4.0
42,1765.0,4476.0,2889.994979079498,568.4661036223384,2850.0,1.0,107626.0,471.1801825789274,5414.176170550945,4.0
43,1774.0,5035.0,3475.772477389608,727.2818145590795,3541.0,1.0,107629.0,146.8230892002128,1605.8122121545523,4.0
44,2720.0,5349.0,4060.9980090203567,513.6432920913106,4177.0,1.0,38673.0,180.48222339604243,1629.316677656141,3.0
45,2738.0,4545.0,3585.990221307257,376.92928662399845,3583.0,1.0,14915.0,95.1473880597015,824.6741473226557,3.0
46,2637.0,4974.0,3653.218639815568,509.1066415302641,3647.0,1.0,138121.0,1015.2377949552482,11038.547132436706,3.0
47,2582.0,5368.0,4197.944210406467,475.37006823311566,4325.0,1.0,16890.0,148.14750085392234,1242.695710858556,3.0
48,2589.0,5640.0,4376.359477434679,512.2245642027026,4462.0,1.0,40495.0,261.940593824228,2615.5192436004563,3.0
49,1207.0,4073.0,2201.981300671258,647.9592307535779,2116.0,1.0,311978.0,2283.6678580768894,25773.220550336133,3.0
50,1213.0,4477.0,2454.457463080902,800.3871055011763,2305.0,1.0,319011.0,1676.7339321967906,21966.748985728795,4.0
51,1978.0,5009.0,3478.505642519112,698.3253550121881,3486.0,1.0,18429.0,124.70258463778667,1039.2183534813903,3.0
52,1958.0,4495.0,3080.3961650958727,556.0139755197425,3024.0,1.0,174134.0,1348.9906564835878,13793.534280745047,3.0
