ws_id,longitude,latitude,area_sqkm,perimeter_km,geometry_count,SHAPE__Len,SHAPE__Are,f_area,area_ha
18,90.56486283679106,27.954065020893015,2.035356471699843e-08,0.0009850407394999864,1,116620.55692,285537650.986,221338761.04,22197.1588679553
19,90.69664653800554,27.973839357767503,2.984908961764264e-08,0.0009936369052594989,1,117526.257279,418825865.39,325002492.048,32548.2351496073
20,90.0037275649704,27.90521922123206,1.0096663581948763e-08,0.0005946373544462184,1,70111.4499856,141580751.604,110152378.07,11015.2378070481
21,90.1627775821149,27.925310057796587,3.0799821023547195e-08,0.0010830146236664058,1,127809.656997,431971808.292,335960406.449,33596.0406449049
22,90.9696756583711,27.962161192711676,2.891922227331572e-08,0.001277416544751524,1,150636.658379,405734559.894,307586158.971,31541.0869082823
23,91.16934383637557,27.909102562629812,2.8041769969840333e-08,0.001051562795591562,1,124288.972814,393230803.029,305832346.05,30601.8930445708
24,89.58501574196106,27.82192993509375,1.0480728307366875e-08,0.0007221748179703057,1,85075.544527,146853409.58,114431553.343,11443.3274921401
25,90.92119068712711,27.879788670823984,3.233448715273671e-08,0.0012808366942660483,1,150955.578972,453304997.73,352915269.77,35291.5269769997
26,90.37290663205711,27.911122844404172,2.6053643978426493e-08,0.0013281776879265135,1,157650.835931,365358355.565,284232968.077,28423.3709418965
27,90.47242587309994,27.92281773875398,2.986749915245027e-08,0.0012133672735523838,1,144029.695973,418886454.981,324690521.392,32581.3276875361
28,90.00741742511846,27.82843339506745,8.200658561848687e-09,0.0005748165800592761,1,67387.007677,114912507.729,89529528.091,8952.9528091031
29,90.66033573388124,27.811465978775512,1.055672518607038e-08,0.0005984284335041849,1,70371.4320804,147904007.958,115281189.806,11528.1189805958
30,90.77327941634532,27.851283209646642,1.4572622338982277e-08,0.0007443551635473484,1,88313.537589,204243324.759,159084409.441,15908.4409440949
31,90.16180446910354,27.797344299819027,1.876016741034366e-08,0.0010474419024474174,1,123615.453114,262803493.221,204870115.26,20487.011526024
32,91.4376046908833,27.862195587051616,2.308888789903219e-08,0.0009347135684844748,1,110822.256212,323636121.667,251785763.584,25211.7409200698
33,91.5266551290613,27.814861654859758,1.5948295027435086e-08,0.0008425072611841415,1,99636.6522967,223449144.373,169174738.411,17423.1729799075
34,90.34909023022061,27.780480916622015,2.7387478974604923e-08,0.0012214342370461626,1,144271.108779,383600573.665,299136778.335,29913.6778334965
35,90.51440769308141,27.74803402383267,7.937834373379023e-09,0.0005629342359939903,1,66357.0922194,111147443.753,86728394.645,8672.83946450365
36,89.90820337380468,27.83910642239308,1.9603841718905946e-08,0.001114176840348289,1,133023.433764,274727973.974,214001775.529,21400.1775529016
37,90.03773021485233,27.70359848304659,2.3656009692827803e-08,0.000999861722212776,1,118003.363908,331102188.572,258551332.679,25855.1332679061
38,89.69202287535916,27.67615025594132,9.880902733192888e-09,0.0006121501979222421,1,72156.875102,138263610.735,108023551.211,10802.3551211318
39,89.74153007970693,27.781759627906705,3.5970472422500195e-08,0.0012864336236070065,1,151976.247792,503823439.986,392577047.077,39287.4032889315
40,91.09049193162508,27.732023994810756,4.165154164721334e-08,0.0014363056152260111,1,169147.428722,583129373.97,430372549.311,45524.9610101418
41,91.31415131072679,27.847118652250987,6.193972826844532e-08,0.001901464531318886,1,225637.886827,868088907.99,656419638.337,67638.2459528043
42,91.41297652344761,27.689688682742286,1.755474656199169e-08,0.0007377691688325138,1,87022.6485926,245674296.354,191980941.232,19198.2662758484
43,91.56447869928623,27.718063294993257,1.8817725115384107e-08,0.0007656115158144434,1,90872.3465143,263417889.959,198792339.855,20576.4715927747
44,90.62062761909736,27.719544991525435,1.6422659362081764e-08,0.0008629280174174873,1,102286.511799,229893955.458,179481722.688,17948.4305204644
45,90.60895688331054,27.61753056946853,1.0387121006185214e-08,0.0006376835715157168,1,75239.5740928,145269254.472,113624957.468,11362.4957468079
46,90.746132801193,27.69904256054821,1.9710202177862464e-08,0.0008870616055739474,1,105194.316953,275863044.037,215462600.487,21546.2600487167
47,89.52076021017407,27.613986536530568,1.1741612826995295e-08,0.0007720924937652802,1,90610.5561745,164207195.966,128441524.6,12844.1524599993
48,89.53965319095907,27.698500800831034,2.809926851507536e-08,0.0012079364942030513,1,142690.558868,393274021.955,307143337.466,30714.4198223383
49,89.77317840046298,27.60943569249703,1.5333688651552937e-08,0.000733317965906937,1,86373.3849223,214433702.039,167734867.244,16773.4867243694
50,89.8998178255006,27.674151101103245,2.4030748894990405e-08,0.0010385768218381737,1,123447.261173,336256661.679,262716017.28,26271.6877748582
51,90.39571556532552,27.629303577082393,1.2866716966567857e-08,0.0006617856963783989,1,78032.7503972,179967032.746,140727257.799,14072.725779903
52,90.50557796700241,27.625003501337055,1.645955275137224e-08,0.0008393023871110392,1,98930.9768924,230211128.744,180034374.184,18003.4374184329
53,89.80129352530449,27.531388324699538,1.3357867652502237e-08,0.0007243383637692251,1,84977.6428622,186670049.047,113769576.245,14622.2781473208
54,91.06251667331551,27.55631969012802,2.516751034594882e-08,0.00091339947203423,1,107675.934336,351784310.159,275508778.678,27550.8778678199
55,91.22342248715039,27.584385287460538,2.1519609139505163e-08,0.0008514323979956523,1,99920.3675958,300871853.17,235537103.487,23553.7103486985
56,90.73682411829938,27.568978350346097,1.01424449652746e-08,0.0006278593291421008,1,74424.2191593,141784522.648,98440816.8291,11100.1154309957
57,90.88311150150926,27.653126567634494,5.092241699071393e-08,0.001517329658857543,1,179836.382285,712409050.744,556918531.312,55691.8531312097
58,90.02627050125677,27.57194906529392,1.3395631105873255e-08,0.0006969367979527563,1,81895.1172394,187266940.322,146499968.746,14658.1747296881
59,90.16240866191956,27.617466515252833,4.230600585794825e-08,0.0017139975687219381,1,202375.509238,591672067.141,462747420.064,46274.8280783005
60,89.08500814337782,27.560901131537054,9.437837098998371e-09,0.0005531937959414064,1,64931.4689178,131924874.532,103304570.768,10330.4570767552
61,90.67870226174897,27.490558312320772,2.3352337400261314e-08,0.0010044302691832013,1,118219.77299,326217145.398,255745895.41,25574.6756255458
62,89.89397145868378,27.518745174228176,6.442140363352245e-09,0.000550936418143126,1,64827.5665117,90015597.4403,70526756.0286,7052.67560285963
63,91.48126551409123,27.545642302022003,3.5117320476984104e-08,0.0010848669661574198,1,127609.162108,490812301.834,383002412.657,38456.4659081006
64,91.63728813450858,27.467578035274286,1.4222255985800305e-08,0.0007849882646250666,1,92404.8433699,198634300.159,151149971.865,15587.2472992427
65,91.07123260347296,27.437841019286324,1.3413111652030155e-08,0.0006806101887985267,1,79516.5244196,187282911.214,146988918.873,14698.8918872593
66,91.22326627603121,27.477865112070933,1.041239760108343e-08,0.0005522153132260948,1,64851.0687912,145437699.411,114074309.503,11407.4309502613
67,89.62254878493826,27.52160579522913,2.054011942199789e-08,0.0008151951739926912,1,96194.5083629,287013228.219,224868864.87,22486.8864869791
68,89.71541126219384,27.44476027246587,9.534785785319592e-09,0.0005844231688836382,1,69521.3836222,133139480.362,104454559.211,10445.4559210993
69,90.46982875742592,27.51489101313921,2.0565303661534654e-08,0.0009651630696688625,1,113058.948059,287347573.698,225162407.513,22516.2407512814
70,90.32122865779925,27.520628328805312,4.121931039430132e-08,0.0015806600725285491,1,187343.483162,575965409.771,451259673.691,45125.9673691119
71,89.30150085639916,27.635969866479822,7.346306999795308e-08,0.0018079685751950859,1,214951.882314,1027594810.53,801622914.861,80350.3452165975
72,89.43114133090285,27.541131861578975,2.1085582897948147e-08,0.0009308754272689275,1,111255.291236,294687627.038,230810298.201,23081.0298201149
73,89.52873015015116,27.46427208204906,1.1956882635819423e-08,0.0007072941971120661,1,84325.8731396,166990129.777,130969775.662,13097.0636316697
74,89.63528041266551,27.39907120223312,8.23229785811985e-09,0.0005020812922816156,1,58923.4762836,114904553.658,90223355.155,9022.33551550381
75,90.50308586470305,27.41203854446651,1.0279511410420267e-08,0.0006742946806177539,1,78918.3696975,143495944.936,112650500.579,11265.0500579171
76,89.87885953650255,27.44104624767442,1.8523996002696436e-08,0.0008872158993792928,1,104326.088769,258652065.355,170240736.793,20293.5835270997
77,89.78965155156654,27.352975668112293,1.5050861457313696e-08,0.0007850562035466923,1,91982.4643016,209989055.423,165016373.37,16501.6373369688
78,91.51459114105772,27.40093633619542,1.0446619892340829e-08,0.0006024357585109718,1,70413.7240642,145814017.265,114549486.4,11454.9486399771
79,91.78949490430013,27.372532090423306,6.721897106371876e-08,0.0017691128520354034,1,207450.51193,938002624.883,737243886.123,73742.018454694
80,90.41482034512381,27.34025186640783,1.3750329164032989e-08,0.0008073305114503611,1,94482.0686009,191822018.192,150779143.598,15077.9143597784
81,90.58628719643994,27.38812415997955,1.2042699586838128e-08,0.0007634353398908362,1,89907.8993541,168072677.654,132003629.605,13200.3629605372
82,90.66950950970731,27.35192050228057,1.2211250976619571e-08,0.0006217641957551389,1,72924.9283538,170369274.509,133897450.244,13389.7450243668
83,89.86529358712772,27.316304485907686,8.796098991531365e-09,0.0006062487622698606,1,71118.7026897,122682234.715,96470382.1921,9647.03821920996
84,89.99338654143448,27.407296763465276,1.0614190827607427e-08,0.0006396408395240661,1,75570.1071483,148161529.992,116315904.747,11631.5904746769
