ws_id,dem_min,dem_max,dem_mean,dem_std,dem_median,acc_min,acc_max,acc_mean,acc_std,acc_median,slope_mean_deg,slope_p90_deg,pct_slope_gt_15,pct_slope_gt_30,relief_m
58,1354.0,4097.0,2593.5695608782435,503.4086340597616,2584.0,1.0,60725.0,140.72045908183634,1338.5849960750174,3.0,24.096987275449102,36.0827522277832,83.52295409181637,25.763473053892216,2743.0
59,1358.0,5170.0,3224.425835203388,823.1722830777093,3178.0,1.0,60683.0,314.8209014191346,3500.6082652812315,4.0,25.048762998198427,37.0157470703125,85.7217358323588,29.450994026359872,3812.0
60,3789.0,5566.0,4618.796372396202,258.4330622014475,4598.0,1.0,3358.0,44.831585659628736,253.37630117775444,3.0,21.625500389684003,34.486279296875004,71.35468329318407,21.652260167209864,1777.0
61,2523.0,4444.0,3399.302080348444,397.8416056556901,3377.0,1.0,33579.0,176.07690985156742,1747.0790700876548,3.0,16.1570021921027,25.601945877075195,53.395610063613965,3.521691787494986,1921.0
62,1172.0,3043.0,1889.8026849828289,466.5924311586296,1860.0,1.0,743286.0,5673.77573108544,60550.0487949862,3.0,19.511709400041628,30.160317230224614,70.22582995108752,10.375689457799979,1871.0
63,844.0,4332.0,2577.5673327872287,596.9200237387704,2586.0,1.0,157805.0,743.7608252528909,9628.755402174334,4.0,22.81766616501248,33.066864013671875,83.22823995580363,18.33387308784028,3488.0
64,822.0,3838.0,2097.0060714453807,648.1250460481773,2125.0,1.0,906370.0,5041.276038970208,66813.95624358687,4.0,24.84984350731868,36.600311279296875,86.18157857579894,28.19692191838848,3016.0
65,857.0,4053.0,2528.6695630461923,679.6536573560735,2524.0,1.0,19376.0,137.08858926342072,1250.8855867357547,4.0,27.742640449438202,39.94980087280273,91.49063670411985,39.86017478152309,3196.0
66,848.0,3849.0,2331.148129098624,718.5451809776796,2420.0,1.0,1131603.0,7368.570978526424,90380.36790285476,4.0,26.30048741481291,37.502607345581055,89.80326604088981,31.863186318631865,3001.0
67,2263.0,4690.0,3217.530358306189,556.9290770789067,3151.0,1.0,100825.0,524.3813680781759,5909.073561466212,4.0,20.973727605863193,31.68820362091066,76.73615635179154,13.853420195439739,2427.0
68,2268.0,4229.0,3123.2918744293843,341.4528432629234,3127.0,1.0,100769.0,124.113772034553,1849.985946000552,3.0,19.85871769436056,28.640703582763674,75.70756373340825,6.812276142987569,1961.0
69,1411.0,4058.0,2708.3581555671176,469.6079013515324,2725.0,1.0,203609.0,1298.6482180020812,15384.466888477207,4.0,22.767838270681583,32.96963729858399,84.15062434963579,17.77445369406868,2647.0
70,1450.0,5098.0,3355.018573792298,588.7806077182973,3291.0,1.0,59766.0,246.4313986308925,2882.8448541489747,3.0,21.8366986503585,33.023006439208984,76.81114751970931,18.106608701294487,3648.0
71,2256.0,6558.0,4071.161873481754,775.3136485144568,4260.0,1.0,106739.0,366.13912821959184,4904.129187319346,4.0,23.573988063286418,36.08755874633789,79.061621464249,26.853056508329313,4302.0
72,2253.0,5456.0,3573.6565156706,698.7857443134982,3599.0,1.0,30549.0,161.52341073467835,1585.2759040132526,4.0,23.76559724337013,35.4747314453125,82.28651186397666,25.536099479761454,3203.0
73,2201.0,4768.0,3342.0287745619435,520.9844412890538,3324.0,1.0,17142.0,119.56188770083412,1072.8391487410593,4.0,21.73898211386665,31.829757308959966,79.73464703577227,14.499244247886695,2567.0
74,2176.0,4247.0,2881.274517783023,439.24830793014286,2826.0,1.0,129845.0,1045.2426141450314,10376.712641333224,4.0,20.675377177097747,31.283210754394528,75.20957109139741,13.217221453568811,2071.0
75,1074.0,4319.0,2441.360524256651,729.3338778838853,2427.0,1.0,278044.0,2016.304316640584,23089.477558495768,4.0,24.215169780255607,36.55436706542969,85.71987480438185,25.98461137193532,3245.0
76,1014.0,3906.0,2167.953883933408,577.9901384338215,2115.0,1.0,786947.0,4161.19154237839,53751.664305382204,4.0,22.89441289588675,33.790340423583984,82.8644685999061,19.25535372503702,2892.0
77,1057.0,4582.0,3028.9103700075693,644.7504760001077,3003.0,1.0,21787.0,150.1577986553275,1384.372424846552,3.0,22.93026181041008,33.68801040649415,84.30028051115366,19.007970078810278,3525.0
78,677.0,3497.0,1895.729158663081,709.9145692472266,1792.0,1.0,1176794.0,7904.871622486874,91518.97493092736,3.0,26.29509620309899,37.587208175659185,87.05339992316557,36.8741196055833,2820.0
79,698.0,4424.0,2787.292392647821,840.4591500844928,2825.0,1.0,1176739.0,339.8714764164108,5688.441689434891,3.0,23.28576163231131,34.0997428894043,82.7947450261154,21.9857661177784,3726.0
